Where papers came from,Papers,Paper_Name_Short,Was the landscape surrounding each field quantitatively measured at a spatial scale ? 500 m around the crop? (yes or no),Does the study consist of at least five crop fields that are at least 1 km apart from each other (yes or no),Are statistics reported as the univariate (or partial contribution) relationship between landscape composition and vector or vector-borne pathogen response? (yes or no),Was the vector-borne pathogen data collected from the crop?,Include for meta-analysis? (yes or no),"Location (state, country, region). List which one is provided",Croppping system,vector_or_pathogen_mod,"Vector or pathogen group (e.g.,  aphid, virus)",measurement of vector or pathogen (be consistent in naming),measurement_mod,"Grouping or individual vectors or pathogens used for analysis (list species if individual, provide description of group if grouped)",Specialist or generalist,Specialist_generalist_both_mod,Landscape category (original),Landscape_category_mod,Additonal information (not already listed) on why mutiple values (rows) are reported for the same spatial scale and landscape feature,Mode_of_pathogen_transmission,Spatial_scale_m_mod,Source in paper,Sample_size,P value,P_value_adj_1,Test statistic (type),Test statistic (raw),Test statisitc (raw sign edited for analysis),t_z_f_x2,r,AIC,Make note if the relationship was posititve (1) or negative (-1) (for future analysis/conversion),yi_from_ti_ri_pi_1,vi_from_ti_ri_pi_1
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grain maize,Crop,Total,,5000,table 3,124,< 0.05,0.05,,,,,,,1,0.17827867,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,grassland,Natural habitat,Total,,5000,table 3,124,> 0.05,1,,,,,,,1,0,0.008264463
WOS or BASE,"Van den Eynde, R., L. De Keukelaere, S. Landschoot, B. Pycke, J. Claeys, S. Smets, T. Van Leeuwen, and G. Haesaert. 2022. Spatio-temporal Influences on Cereal Aphid (Hemiptera: Aphididae) Population Dynamics and the Incidence of Barley Yellow Dwarf Virus. Environ. Entomol. 51: 1020–1029.",Van_den_Eynde_et_al_2022,yes,yes,yes,NA,yes,Belgium,"barley, wheat, triticale, and spelt, all winter types.",vector,aphid,abundance,abundance,cereal aphids (exact species counted not listed),"Species not listed, but likely both generalist and specialist",both,small grain cereals,Crop,Total,,5000,table 3,124,< 0.05,0.05,,,,,,,-1,0.17827867,0.008264463
WOS or BASE,"Carriere, Y., B. Degain, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2017. Validation of a Landscape-Based Model for Whitefly Spread of the Cucurbit Yellow Stunting Disorder Virus to Fall Melons. J. Econ. Entomol. 110: 2002–2009.",Carriere_et_al_2017,yes,yes,yes,yes,yes,Arizona,fall melon,pathogen,virus,"Incidence (""The percentage of leaves with virus symptoms in each quadrat was averaged to estimate the percentage of leaves infected with CYSDV in each field"") ",incidence,cucurbit yellow stunting disorder virus (CYSDV),generalist,generalist,cotton,Crop,,semipersistent,1500,in-text,79,0.0044,0.0044,F,9.48,9.48,9.48,,,1,0.937061486,0.013157895
WOS or BASE,"Carriere, Y., B. Degain, L. Liesner, P. Dutilleul, and J. C. Palumbo. 2017. Validation of a Landscape-Based Model for Whitefly Spread of the Cucurbit Yellow Stunting Disorder Virus to Fall Melons. J. Econ. Entomol. 110: 2002–2009.",Carriere_et_al_2017,yes,yes,yes,yes,yes,Arizona,fall melon,pathogen,virus,"Incidence (""The percentage of leaves with virus symptoms in each quadrat was averaged to estimate the percentage of leaves infected with CYSDV in each field"") ",incidence,cucurbit yellow stunting disorder virus (CYSDV),generalist,generalist,spring mellon,Crop,,semipersistent,1500,in-text,79,0.26,0.26,F,1.29,1.29,1.29,,,1,0.146484709,0.013157895
Chaplin-Kramer 2011,"Chaplin-Kramer, R., de Valpine, P., Mills, N. J., & Kremen, C. (2013). Detecting pest control services across spatial and temporal scales. Agriculture, Ecosystems and Environment, 181, 206–212. https://doi.org/10.1016/j.agee.2013.10.007",Chaplin_Kramer_et_al_2013,yes,yes,yes,NA,yes,Callifornia,broccoli,vector,aphid,abundance,abundance,Brevicoryne brassicae,specialist,specialist,Natural habitat,Natural habitat,,,500,fig 1,24,> 0.05,1,,,,,,,1,0,0.047619048
Chaplin-Kramer 2011,"Chaplin-Kramer, R., de Valpine, P., Mills, N. J., & Kremen, C. (2013). Detecting pest control services across spatial and temporal scales. Agriculture, Ecosystems and Environment, 181, 206–212. https://doi.org/10.1016/j.agee.2013.10.007",Chaplin_Kramer_et_al_2013,yes,yes,yes,NA,yes,Callifornia,broccoli,vector,aphid,abundance,abundance,Brevicoryne brassicae,specialist,specialist,Natural habitat,Natural habitat,,,1000,fig 1,24,> 0.05,1,,,,,,,1,0,0.047619048
Chaplin-Kramer 2011,"Chaplin-Kramer, R., de Valpine, P., Mills, N. J., & Kremen, C. (2013). Detecting pest control services across spatial and temporal scales. Agriculture, Ecosystems and Environment, 181, 206–212. https://doi.org/10.1016/j.agee.2013.10.007",Chaplin_Kramer_et_al_2013,yes,yes,yes,NA,yes,Callifornia,broccoli,vector,aphid,abundance,abundance,Brevicoryne brassicae,specialist,specialist,Natural habitat,Natural habitat,,,1500,fig 1,24,> 0.05,1,,,,,,,1,0,0.047619048
Chaplin-Kramer 2011,"Chaplin-Kramer, R., de Valpine, P., Mills, N. J., & Kremen, C. (2013). Detecting pest control services across spatial and temporal scales. Agriculture, Ecosystems and Environment, 181, 206–212. https://doi.org/10.1016/j.agee.2013.10.007",Chaplin_Kramer_et_al_2013,yes,yes,yes,NA,yes,Callifornia,broccoli,vector,aphid,abundance,abundance,Brevicoryne brassicae,specialist,specialist,Natural habitat,Natural habitat,,,2000,fig 1,24,> 0.05,1,,,,,,,1,0,0.047619048
Chaplin-Kramer 2011,"Chaplin-Kramer, R., de Valpine, P., Mills, N. J., & Kremen, C. (2013). Detecting pest control services across spatial and temporal scales. Agriculture, Ecosystems and Environment, 181, 206–212. https://doi.org/10.1016/j.agee.2013.10.007",Chaplin_Kramer_et_al_2013,yes,yes,yes,NA,yes,Callifornia,broccoli,vector,aphid,abundance,abundance,Brevicoryne brassicae,specialist,specialist,Natural habitat,Natural habitat,,,2500,fig 1,24,> 0.05,1,,,,,,,1,0,0.047619048
Chaplin-Kramer 2011,"Chaplin-Kramer, R., de Valpine, P., Mills, N. J., & Kremen, C. (2013). Detecting pest control services across spatial and temporal scales. Agriculture, Ecosystems and Environment, 181, 206–212. https://doi.org/10.1016/j.agee.2013.10.007",Chaplin_Kramer_et_al_2013,yes,yes,yes,NA,yes,Callifornia,broccoli,vector,aphid,abundance,abundance,Brevicoryne brassicae,specialist,specialist,Natural habitat,Natural habitat,,,3000,fig 1,24,> 0.05,1,,,,,,,1,0,0.047619048
Chaplin-Kramer 2011,"Den Belder, E., Elderson, J., Van Den Brink, W. J., & Schelling, G. (2002). Effect of woodlots on thrips density in leek fields: A landscape analysis. Agriculture, Ecosystems and Environment, 91(1–3), 139–145. https://doi.org/10.1016/S0167-8809(01)00264-X",Belder_et_al_2002,yes,yes,yes,NA,yes,Netherlands,leek,vector,thrips,abundance,abundance,Thrips tabaci,generalist,generalist,woodlots,Natural habitat,adults thrips,,5000,table 1,43,0.001,0.001,F,13.24,-13.24,-13.24,,,-1,-1.473525956,0.025
Chaplin-Kramer 2011,"Den Belder, E., Elderson, J., Van Den Brink, W. J., & Schelling, G. (2002). Effect of woodlots on thrips density in leek fields: A landscape analysis. Agriculture, Ecosystems and Environment, 91(1–3), 139–145. https://doi.org/10.1016/S0167-8809(01)00264-X",Belder_et_al_2002,yes,yes,yes,NA,yes,Netherlands,leek,vector,thrips,abundance,abundance,Thrips tabaci,generalist,generalist,horticultural area,Crop,nymph thrips,,5000,table 1,43,0.022,0.022,F,5.69,5.69,5.69,,,1,0.800390789,0.025
Chaplin-Kramer 2011,"Den Belder, E., Elderson, J., Van Den Brink, W. J., & Schelling, G. (2002). Effect of woodlots on thrips density in leek fields: A landscape analysis. Agriculture, Ecosystems and Environment, 91(1–3), 139–145. https://doi.org/10.1016/S0167-8809(01)00264-X",Belder_et_al_2002,yes,yes,yes,NA,yes,Netherlands,leek,vector,thrips,abundance,abundance,Thrips tabaci,generalist,generalist,woodlots,Natural habitat,adult thrips,,5000,table 1,43,0.03,0.03,F,5.05,-5.05,-5.05,,,-1,-0.723802432,0.025
Chaplin-Kramer 2011,"Den Belder, E., Elderson, J., Van Den Brink, W. J., & Schelling, G. (2002). Effect of woodlots on thrips density in leek fields: A landscape analysis. Agriculture, Ecosystems and Environment, 91(1–3), 139–145. https://doi.org/10.1016/S0167-8809(01)00264-X",Belder_et_al_2002,yes,yes,yes,NA,yes,Netherlands,leek,vector,thrips,abundance,abundance,Thrips tabaci,generalist,generalist,horticultural area,Crop,nymph thrips,,5000,table 1,43,0.347,0.347,F,0.91,0.91,0.91,,,1,0.141644013,0.025
Chaplin-Kramer 2011,"Noma, T., Gratton, C., Colunga-Garcia, M., Brewer, M. J., Mueller, E. E., Wyckhuys, K. A. G., … O’Neal, M. E. (2010). Relationship of soybean aphid (Hemiptera: Aphididae) to soybean plant nutrients, Landscape structure, and natural enemies. Environmental Entomology, 39(1), 31–41. https://doi.org/10.1603/EN09073",Noma_et_al_2010,yes,yes,yes,NA,yes,"Iowa, Michigan, Minnesota, and Wisconsin,",soybean,vector,aphid,abundance,abundance,Aphis glycines,specialist,specialist,corn and soybean together,Crop,,,2000,Table 2,21,< 0.05?,0.05,r2,0.15,0.15,,0.387298335,-38.2,1,0.408617677,0.055555556
Chaplin-Kramer 2011,"Noma, T., Gratton, C., Colunga-Garcia, M., Brewer, M. J., Mueller, E. E., Wyckhuys, K. A. G., … O’Neal, M. E. (2010). Relationship of soybean aphid (Hemiptera: Aphididae) to soybean plant nutrients, Landscape structure, and natural enemies. Environmental Entomology, 39(1), 31–41. https://doi.org/10.1603/EN09073",Noma_et_al_2010,yes,yes,yes,NA,yes,"Iowa, Michigan, Minnesota, and Wisconsin,",soybean,vector,aphid,abundance,abundance,Aphis glycines,specialist,specialist,Diversity,Diversity,,,2000,Table 2,26,< 0.05?,0.05,r2,0.14,-0.14,,-0.374166,-9.56,-1,-0.39325856,0.043478261
Chaplin-Kramer 2011,"Östman, Ö., Ekbom, B., & Bengtsson, J. (2001). Landscape heterogeneity and farming practice influence biological control. Basic and Applied Ecology, 2(4), 365–371. https://doi.org/10.1078/1439-1791-00072",Ostman_et_al_2001,yes,yes,yes,NA,yes,Sweden,spring barley,vector,aphid,abundance,abundance,Rhopalosiphum padi,specialist,specialist,"Heterogeneity, Shannon's Index",Diversity,,,5000,table 1,10,> 0.05,1,r,0.19,0.19,,0.19,,1,0.192337169,0.142857143
Chaplin-Kramer 2011,"Ramos, M. (2008). The effects of local and landscape context on leafhopper (Hemiptera: Cicadellinae) communities in coffee agroforestry systems of Coasta Rica. PhD Dissertation, University of Idaho, Moscow.",Ramos_2008,yes,yes,yes,NA,yes,Coasta Rica,coffee,vector,sharpshooters,abundance,abundance,sharpshooters,generalist,generalist,coffee,Crop,,,500,Table 2.5,19,< 0.05,0.05,r,0.18,0.18,,0.18,,1,0.181982689,0.0625
Chaplin-Kramer 2011,"Ramos, M. (2008). The effects of local and landscape context on leafhopper (Hemiptera: Cicadellinae) communities in coffee agroforestry systems of Coasta Rica. PhD Dissertation, University of Idaho, Moscow.",Ramos_2008,yes,yes,yes,NA,yes,Coasta Rica,coffee,vector,sharpshooters,abundance,abundance,sharpshooters,generalist,generalist,pasture,Non-crop,,,500,Table 2.5,19,< 0.01,0.01,r,-0.253,-0.253,,-0.253,,-1,-0.258615385,0.0625
Chaplin-Kramer 2011,"Ramos, M. (2008). The effects of local and landscape context on leafhopper (Hemiptera: Cicadellinae) communities in coffee agroforestry systems of Coasta Rica. PhD Dissertation, University of Idaho, Moscow.",Ramos_2008,yes,yes,yes,NA,yes,Coasta Rica,coffee,vector,sharpshooters,abundance,abundance,sharpshooters,generalist,generalist,fallow,Non-crop,,,500,Table 2.5,19,> 0.05,1,r,0.128,0.128,,0.128,,1,0.128706004,0.0625
Chaplin-Kramer 2011,"Ramos, M. (2008). The effects of local and landscape context on leafhopper (Hemiptera: Cicadellinae) communities in coffee agroforestry systems of Coasta Rica. PhD Dissertation, University of Idaho, Moscow.",Ramos_2008,yes,yes,yes,NA,yes,Coasta Rica,coffee,vector,sharpshooters,richness,diversity,sharpshooters,generalist,generalist,coffee,Crop,,,500,Table 2.5,19,> 0.05,1,r,-0.036,-0.036,,-0.036,,-1,-0.036015564,0.0625
Chaplin-Kramer 2011,"Ramos, M. (2008). The effects of local and landscape context on leafhopper (Hemiptera: Cicadellinae) communities in coffee agroforestry systems of Coasta Rica. PhD Dissertation, University of Idaho, Moscow.",Ramos_2008,yes,yes,yes,NA,yes,Coasta Rica,coffee,vector,sharpshooters,richness,diversity,sharpshooters,generalist,generalist,pasture,Non-crop,,,500,Table 2.5,19,< 0.01,0.01,r,-0.208,-0.208,,-0.208,,-1,-0.211079993,0.0625
Chaplin-Kramer 2011,"Ramos, M. (2008). The effects of local and landscape context on leafhopper (Hemiptera: Cicadellinae) communities in coffee agroforestry systems of Coasta Rica. PhD Dissertation, University of Idaho, Moscow.",Ramos_2008,yes,yes,yes,NA,yes,Coasta Rica,coffee,vector,sharpshooters,richness,diversity,sharpshooters,generalist,generalist,fallow,Non-crop,,,500,Table 2.5,19,< 0.0001,0.0001,r,0.398,0.398,,0.398,,1,0.421270239,0.0625
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,1000,Table 2,24,> 0.05,1,F,0.73,0.73,0.73,,,1,0.155014951,0.047619048
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,1500,Table 2,24,> 0.05,1,F,1.45,1.45,1.45,,,1,0.304417477,0.047619048
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,2000,Table 2,24,> 0.05,1,F,1.05,1.05,1.05,,,1,0.222031955,0.047619048
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,2500,Table 2,24,> 0.05,1,F,0.25,0.25,0.25,,,1,0.053274974,0.047619048
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,3000,Table 2,24,> 0.05,1,F,0.03,0.03,0.03,,,1,0.006395978,0.047619048
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,1000,Table 2,24,< 0.05,0.05,F,4.39,4.39,4.39,,,not specified,0.835351485,0.047619048
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,1500,Table 2,24,< 0.05,0.05,F,5.09,5.09,5.09,,,not specified,0.940348937,0.047619048
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,2000,Table 2,24,< 0.05,0.05,F,4.41,4.41,4.41,,,not specified,0.838461337,0.047619048
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,2500,Table 2,24,< 0.05,0.05,F,4.26,4.26,4.26,,,not specified,0.814975482,0.047619048
Chaplin-Kramer 2011,"Roschewitz, I., Hücker, M., Tscharntke, T., & Thies, C. (2005). The influence of landscape context and farming practices on parasitism of cereal aphids. Agriculture, Ecosystems and Environment, 108(3), 218–227. https://doi.org/10.1016/j.agee.2005.02.005",Roschewitz_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,3000,Table 2,24,< 0.05,0.05,F,4.52,4.52,4.52,,,not specified,0.855447694,0.047619048
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,500,Table 2,40,< 0.01,0.01,F,10.2,-10.2,-10.2,,,-1,-1.277601097,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,1000,Table 2,40,< 0.01,0.01,F,12.3,-12.3,-12.3,,,-1,-1.441542114,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,1500,Table 2,40,< 0.01,0.01,F,9.9,-9.9,-9.9,,,-1,-1.252154848,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,2000,Table 2,40,< 0.01,0.01,F,9.4,-9.4,-9.4,,,-1,-1.208486135,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,2500,Table 2,40,< 0.01,0.01,F,9.5,-9.5,-9.5,,,-1,-1.217349183,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat flowering,,3000,Table 2,40,< 0.01,0.01,F,8.9,-8.9,-8.9,,,-1,-1.163162567,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,500,Table 2,40,> 0.05,1,F,NA,,,,,not specified,0,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,1000,Table 2,40,> 0.05,1,F,NA,,,,,not specified,0,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,1500,Table 2,40,> 0.05,1,F,NA,,,,,not specified,0,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,2000,Table 2,40,> 0.05,1,F,NA,,,,,not specified,0,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,2500,Table 2,40,> 0.05,1,F,NA,,,,,not specified,0,0.027027027
Chaplin-Kramer 2011,"Thies, C., Roschewitz, I., & Tscharntke, T. (2005). The landscape context of cereal aphid-parasitoid interactions. Proceedings of the Royal Society B: Biological Sciences, 272(1559), 203–210. https://doi.org/10.1098/rspb.2004.2902",Thies_et_al_2005,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,Crop,Crop,wheat ripening,,3000,Table 2,40,> 0.05,1,F,NA,,,,,not specified,0,0.027027027
Chaplin-Kramer 2011,"Vollhardt, I. M. G., Tscharntke, T., Wäckers, F. L., Bianchi, F. J. J. A., & Thies, C. (2008). Diversity of cereal aphid parasitoids in simple and complex landscapes. Agriculture, Ecosystems and Environment, 126(3–4), 289–292. https://doi.org/10.1016/j.agee.2008.01.024",Vollhardt_et_al_2008,yes,yes,yes,NA,yes,Germany,winter wheat,vector,aphid,abundance,abundance,"Sitobion avenae, Metopolophium dirhodum, Rhopalosiphum padi",specialist,specialist,"simple_vs)complete, calculated percent arable land",Crop,,,500,In text,12,1,1,x2,< 0.01,< 0.01,0.01,,,not specified,0.003162272,0.111111111
known papers from before conducting meta-analysis,"Clemente-Orta, G., Madeira, F., Batuecas, I., Sossai, S., Juárez-Escario, A., & Albajes, R. (2020). Changes in landscape composition influence the abundance of insects on maize: The role of fruit orchards and alfalfa crops. Agriculture, Ecosystems and Environment, 291(May 2019), 106805. https://doi.org/10.1016/j.agee.2019.106805",Clemente_orta_et_al_2020b,yes,yes,yes,NA,yes,Spain,corn,vector,thrips,abundance,abundance,Frankliniella occidentalis,generalist,generalist,alfalfa,Crop,summer,,500,Table 3,52,0.007,0.007,z,2.66,2.66,2.66,,,1,0.367830014,0.020408163
